price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room
149,1,9,6,365,True,False,False,False,True,False
225,1,45,2,355,False,True,False,False,False,False
150,3,0,1,365,False,True,False,False,True,False
89,1,270,1,194,True,False,False,False,False,False
80,10,9,1,0,False,True,False,False,False,False
200,3,74,1,129,False,True,False,False,False,False
60,45,49,1,0,True,False,False,False,True,False
79,2,430,1,220,False,True,False,False,True,False
79,2,118,1,0,False,True,False,False,True,False
150,1,160,4,188,False,True,False,False,False,False
135,5,53,1,6,False,True,False,False,False,False
85,2,188,1,39,False,True,False,False,True,False
89,4,167,3,314,True,False,False,False,True,False
85,2,113,1,333,False,True,False,False,True,False
120,90,27,1,0,False,True,False,False,False,False
140,2,148,1,46,True,False,False,False,False,False
215,2,198,1,321,True,False,False,False,False,False
140,1,260,1,12,False,True,False,False,True,False
99,3,53,1,21,True,False,False,False,False,False
190,7,0,2,249,False,True,False,False,False,False
299,3,9,1,0,True,False,False,False,False,False
130,2,130,6,347,True,False,False,False,True,False
80,1,39,6,364,True,False,False,False,True,False
110,2,71,6,304,True,False,False,False,True,False
120,2,88,2,233,True,False,False,False,False,False
60,1,19,2,85,True,False,False,False,True,False
80,4,0,1,0,False,True,False,False,True,False
150,10,58,1,75,False,True,False,False,False,False
44,3,108,3,311,False,True,False,False,True,False
180,14,29,1,67,False,True,False,False,False,False
50,3,242,3,355,False,True,False,False,True,False
52,2,88,1,255,False,True,False,False,True,False
55,4,197,3,284,True,False,False,False,True,False
50,3,273,3,359,False,True,False,False,True,False
70,1,74,2,269,True,False,False,False,True,False
89,4,168,3,340,True,False,False,False,True,False
35,60,0,1,365,True,False,False,False,True,False
85,2,231,2,22,True,False,False,False,False,False
150,1,0,1,365,True,False,False,False,True,False
40,1,214,4,188,False,True,False,False,False,True
68,2,245,2,96,False,True,False,False,True,False
120,3,15,1,345,True,False,False,False,False,False
120,7,25,1,311,True,False,False,False,True,False
135,4,81,1,273,False,True,False,False,True,False
150,7,97,1,309,False,True,False,False,False,False
150,29,11,1,95,True,False,False,False,False,False
130,3,248,1,215,False,False,True,False,True,False
110,7,61,1,265,True,False,False,False,False,False
115,3,11,1,0,True,False,False,False,False,False
80,3,135,2,192,True,False,False,False,True,False
80,1,112,3,251,True,False,False,False,True,False
151,2,73,1,302,False,True,False,False,False,False
228,3,82,1,140,True,False,False,False,False,False
144,2,328,1,234,True,False,False,False,False,False
200,7,19,1,257,False,True,False,False,False,False
150,30,105,1,30,True,False,False,False,False,False
110,5,19,1,301,False,True,False,False,True,False
